"cust","date"
35,1972-01-01
35,1973-01-01
35,1975-01-01
35,1976-01-01
35,1977-01-01
35,1978-01-01
35,1980-01-01
35,1981-01-01
35,1982-01-01
35,1983-01-01
36,1970-01-01
36,1971-01-01
37,1970-01-01
37,1971-01-01
37,1972-01-01
37,1973-01-01
37,1974-01-01
37,1975-01-01
37,1976-01-01
37,1977-01-01
37,1978-01-01
37,1979-01-01
37,1980-01-01
37,1981-01-01
37,1982-01-01
37,1983-01-01
38,1970-01-01
38,1971-01-01
38,1972-01-01
38,1973-01-01
38,1974-01-01
38,1975-01-01
38,1977-01-01
38,1978-01-01
38,1979-01-01
38,1980-01-01
38,1982-01-01
38,1983-01-01
39,1970-01-01
39,1972-01-01
39,1973-01-01
39,1974-01-01
39,1975-01-01
39,1976-01-01
39,1977-01-01
39,1978-01-01
39,1980-01-01
39,1981-01-01
39,1982-01-01
39,1983-01-01
40,1970-01-01
40,1981-01-01
40,1983-01-01
41,1970-01-01
42,1970-01-01
42,1971-01-01
42,1973-01-01
42,1974-01-01
42,1976-01-01
42,1977-01-01
43,1970-01-01
44,1970-01-01
44,1971-01-01
44,1972-01-01
44,1973-01-01
44,1976-01-01
44,1977-01-01
45,1970-01-01
45,1971-01-01
45,1972-01-01
45,1974-01-01
45,1975-01-01
45,1976-01-01
45,1977-01-01
45,1978-01-01
45,1979-01-01
45,1980-01-01
45,1982-01-01
45,1983-01-01
46,1970-01-01
46,1972-01-01
46,1973-01-01
46,1974-01-01
46,1975-01-01
47,1970-01-01
48,1970-01-01
49,1970-01-01
49,1972-01-01
50,1970-01-01
50,1971-01-01
50,1972-01-01
50,1973-01-01
50,1974-01-01
50,1975-01-01
50,1976-01-01
50,1977-01-01
50,1978-01-01
50,1979-01-01
50,1980-01-01
50,1981-01-01
50,1982-01-01
50,1983-01-01
51,1970-01-01
51,1971-01-01
51,1972-01-01
51,1973-01-01
51,1974-01-01
51,1975-01-01
51,1976-01-01
51,1978-01-01
51,1979-01-01
52,1970-01-01
52,1971-01-01
52,1972-01-01
52,1973-01-01
52,1974-01-01
52,1975-01-01
52,1976-01-01
52,1977-01-01
52,1978-01-01
52,1979-01-01
52,1980-01-01
52,1981-01-01
52,1982-01-01
52,1983-01-01
53,1970-01-01
54,1970-01-01
54,1971-01-01
54,1973-01-01
54,1974-01-01
54,1975-01-01
54,1977-01-01
54,1978-01-01
54,1979-01-01
54,1980-01-01
54,1983-01-01
55,1970-01-01
55,1971-01-01
55,1975-01-01
55,1976-01-01
55,1977-01-01
55,1978-01-01
55,1979-01-01
55,1980-01-01
56,1970-01-01
56,1971-01-01
56,1972-01-01
56,1973-01-01
56,1974-01-01
56,1975-01-01
56,1976-01-01
56,1977-01-01
56,1978-01-01
56,1979-01-01
56,1980-01-01
56,1981-01-01
56,1982-01-01
56,1983-01-01
57,1970-01-01
57,1971-01-01
57,1972-01-01
57,1979-01-01
57,1981-01-01
58,1970-01-01
58,1972-01-01
59,1970-01-01
59,1971-01-01
59,1972-01-01
59,1973-01-01
59,1975-01-01
59,1976-01-01
60,1970-01-01
61,1970-01-01
61,1971-01-01
61,1972-01-01
61,1973-01-01
61,1974-01-01
62,1970-01-01
62,1971-01-01
62,1972-01-01
62,1975-01-01
62,1978-01-01
62,1979-01-01
62,1980-01-01
62,1981-01-01
62,1982-01-01
62,1983-01-01
63,1970-01-01
63,1971-01-01
63,1973-01-01
64,1970-01-01
65,1970-01-01
65,1983-01-01
66,1970-01-01
66,1971-01-01
66,1972-01-01
66,1973-01-01
66,1974-01-01
66,1975-01-01
66,1976-01-01
66,1977-01-01
66,1978-01-01
66,1979-01-01
66,1980-01-01
66,1981-01-01
66,1982-01-01
66,1983-01-01
67,1970-01-01
68,1970-01-01
69,1970-01-01
70,1970-01-01
70,1977-01-01
70,1979-01-01
70,1983-01-01
71,1970-01-01
71,1974-01-01
71,1975-01-01
72,1970-01-01
72,1971-01-01
72,1972-01-01
73,1970-01-01
74,1970-01-01
75,1970-01-01
75,1971-01-01
75,1974-01-01
75,1975-01-01
75,1980-01-01
76,1970-01-01
76,1971-01-01
76,1973-01-01
77,1970-01-01
77,1971-01-01
77,1972-01-01
77,1973-01-01
77,1974-01-01
77,1975-01-01
77,1976-01-01
77,1977-01-01
77,1978-01-01
77,1979-01-01
77,1980-01-01
77,1981-01-01
77,1982-01-01
77,1983-01-01
78,1970-01-01
78,1971-01-01
79,1970-01-01
79,1971-01-01
80,1970-01-01
80,1971-01-01
80,1972-01-01
80,1973-01-01
80,1974-01-01
80,1975-01-01
81,1970-01-01
81,1971-01-01
81,1972-01-01
81,1973-01-01
81,1974-01-01
81,1975-01-01
81,1976-01-01
81,1977-01-01
81,1978-01-01
81,1979-01-01
81,1980-01-01
82,1970-01-01
83,1970-01-01
84,1970-01-01
85,1970-01-01
85,1971-01-01
85,1972-01-01
85,1973-01-01
85,1974-01-01
85,1975-01-01
85,1976-01-01
85,1977-01-01
85,1978-01-01
85,1979-01-01
85,1980-01-01
85,1981-01-01
85,1982-01-01
85,1983-01-01
86,1970-01-01
86,1971-01-01
86,1972-01-01
87,1970-01-01
87,1974-01-01
87,1976-01-01
87,1977-01-01
87,1978-01-01
87,1979-01-01
87,1980-01-01
88,1970-01-01
89,1970-01-01
90,1970-01-01
90,1971-01-01
90,1972-01-01
90,1973-01-01
90,1974-01-01
90,1975-01-01
90,1976-01-01
90,1978-01-01
90,1979-01-01
90,1981-01-01
90,1983-01-01
91,1970-01-01
91,1971-01-01
91,1972-01-01
91,1973-01-01
91,1974-01-01
91,1975-01-01
91,1976-01-01
91,1977-01-01
91,1978-01-01
91,1979-01-01
91,1980-01-01
91,1982-01-01
91,1983-01-01
92,1970-01-01
92,1971-01-01
92,1972-01-01
93,1970-01-01
93,1971-01-01
93,1972-01-01
93,1973-01-01
93,1974-01-01
93,1975-01-01
93,1976-01-01
93,1977-01-01
93,1978-01-01
93,1979-01-01
93,1980-01-01
93,1981-01-01
93,1982-01-01
93,1983-01-01
94,1970-01-01
94,1971-01-01
94,1972-01-01
94,1974-01-01
94,1975-01-01
94,1976-01-01
94,1977-01-01
94,1978-01-01
94,1979-01-01
95,1970-01-01
95,1971-01-01
95,1972-01-01
95,1973-01-01
95,1974-01-01
95,1977-01-01
95,1978-01-01
95,1979-01-01
95,1980-01-01
95,1981-01-01
95,1982-01-01
96,1970-01-01
97,1970-01-01
97,1972-01-01
97,1973-01-01
97,1977-01-01
97,1980-01-01
97,1981-01-01
98,1970-01-01
98,1975-01-01
99,1970-01-01
100,1970-01-01
100,1976-01-01
100,1979-01-01
101,1970-01-01
101,1971-01-01
102,1970-01-01
102,1971-01-01
102,1972-01-01
102,1974-01-01
103,1970-01-01
103,1971-01-01
104,1970-01-01
104,1971-01-01
104,1972-01-01
104,1973-01-01
104,1974-01-01
104,1975-01-01
104,1979-01-01
105,1970-01-01
105,1972-01-01
105,1974-01-01
105,1979-01-01
106,1970-01-01
106,1972-01-01
106,1973-01-01
106,1976-01-01
106,1978-01-01
106,1980-01-01
107,1970-01-01
108,1970-01-01
108,1971-01-01
108,1972-01-01
108,1973-01-01
108,1974-01-01
108,1975-01-01
108,1976-01-01
108,1977-01-01
108,1978-01-01
108,1979-01-01
108,1980-01-01
108,1981-01-01
108,1982-01-01
108,1983-01-01
109,1970-01-01
109,1971-01-01
110,1970-01-01
110,1971-01-01
110,1972-01-01
111,1970-01-01
111,1973-01-01
111,1974-01-01
111,1975-01-01
111,1977-01-01
111,1978-01-01
111,1981-01-01
112,1970-01-01
112,1971-01-01
112,1972-01-01
112,1973-01-01
112,1974-01-01
112,1975-01-01
112,1976-01-01
112,1977-01-01
112,1978-01-01
112,1979-01-01
112,1980-01-01
112,1981-01-01
112,1982-01-01
112,1983-01-01
113,1970-01-01
113,1971-01-01
113,1972-01-01
114,1970-01-01
114,1971-01-01
114,1972-01-01
114,1973-01-01
114,1974-01-01
114,1975-01-01
114,1976-01-01
114,1977-01-01
114,1979-01-01
114,1980-01-01
114,1981-01-01
114,1982-01-01
114,1983-01-01
115,1970-01-01
115,1971-01-01
115,1972-01-01
115,1973-01-01
116,1970-01-01
116,1971-01-01
117,1970-01-01
117,1973-01-01
117,1974-01-01
117,1975-01-01
117,1977-01-01
117,1978-01-01
117,1979-01-01
117,1980-01-01
117,1981-01-01
117,1982-01-01
117,1983-01-01
118,1970-01-01
118,1971-01-01
118,1972-01-01
118,1973-01-01
118,1974-01-01
118,1975-01-01
118,1976-01-01
118,1977-01-01
118,1978-01-01
118,1979-01-01
118,1980-01-01
118,1981-01-01
118,1982-01-01
118,1983-01-01
119,1970-01-01
120,1970-01-01
120,1971-01-01
120,1972-01-01
120,1973-01-01
120,1975-01-01
120,1976-01-01
120,1977-01-01
120,1978-01-01
120,1979-01-01
120,1980-01-01
120,1981-01-01
120,1982-01-01
120,1983-01-01
121,1970-01-01
121,1971-01-01
121,1972-01-01
121,1973-01-01
122,1970-01-01
122,1971-01-01
122,1972-01-01
122,1973-01-01
122,1974-01-01
122,1975-01-01
122,1976-01-01
123,1970-01-01
124,1970-01-01
124,1971-01-01
124,1972-01-01
124,1973-01-01
124,1974-01-01
124,1975-01-01
124,1976-01-01
124,1977-01-01
124,1978-01-01
124,1979-01-01
124,1980-01-01
124,1981-01-01
124,1982-01-01
124,1983-01-01
125,1970-01-01
125,1971-01-01
125,1972-01-01
125,1973-01-01
125,1974-01-01
125,1975-01-01
125,1976-01-01
125,1977-01-01
125,1978-01-01
125,1979-01-01
125,1980-01-01
125,1981-01-01
125,1982-01-01
125,1983-01-01
126,1970-01-01
126,1971-01-01
126,1972-01-01
127,1970-01-01
128,1970-01-01
128,1972-01-01
128,1973-01-01
129,1970-01-01
129,1972-01-01
130,1970-01-01
130,1971-01-01
130,1972-01-01
130,1973-01-01
130,1975-01-01
130,1980-01-01
131,1970-01-01
131,1971-01-01
131,1972-01-01
131,1973-01-01
131,1974-01-01
131,1975-01-01
131,1976-01-01
131,1977-01-01
131,1978-01-01
131,1979-01-01
131,1980-01-01
131,1981-01-01
131,1983-01-01
132,1970-01-01
132,1971-01-01
132,1972-01-01
132,1973-01-01
132,1975-01-01
132,1976-01-01
132,1977-01-01
132,1978-01-01
132,1979-01-01
132,1980-01-01
132,1981-01-01
132,1982-01-01
132,1983-01-01
133,1970-01-01
133,1971-01-01
134,1970-01-01
134,1977-01-01
134,1983-01-01
135,1970-01-01
135,1971-01-01
135,1972-01-01
135,1973-01-01
135,1974-01-01
136,1970-01-01
136,1971-01-01
136,1974-01-01
137,1970-01-01
137,1972-01-01
137,1975-01-01
137,1976-01-01
137,1979-01-01
137,1980-01-01
137,1981-01-01
137,1982-01-01
137,1983-01-01
138,1970-01-01
139,1970-01-01
139,1971-01-01
139,1972-01-01
139,1974-01-01
139,1976-01-01
139,1978-01-01
139,1981-01-01
139,1982-01-01
139,1983-01-01
140,1970-01-01
140,1971-01-01
140,1972-01-01
140,1973-01-01
141,1970-01-01
141,1971-01-01
142,1970-01-01
142,1971-01-01
142,1972-01-01
143,1970-01-01
143,1971-01-01
143,1972-01-01
143,1973-01-01
143,1974-01-01
143,1975-01-01
143,1976-01-01
143,1977-01-01
143,1978-01-01
143,1979-01-01
143,1980-01-01
143,1983-01-01
144,1970-01-01
145,1970-01-01
145,1973-01-01
145,1974-01-01
145,1975-01-01
146,1970-01-01
146,1971-01-01
146,1974-01-01
146,1975-01-01
147,1970-01-01
147,1971-01-01
147,1973-01-01
147,1974-01-01
147,1976-01-01
147,1978-01-01
147,1980-01-01
147,1982-01-01
148,1970-01-01
149,1970-01-01
149,1972-01-01
150,1970-01-01
151,1970-01-01
151,1971-01-01
151,1972-01-01
151,1973-01-01
151,1974-01-01
151,1975-01-01
151,1976-01-01
151,1977-01-01
151,1978-01-01
151,1979-01-01
151,1980-01-01
151,1981-01-01
151,1982-01-01
151,1983-01-01
152,1970-01-01
153,1970-01-01
154,1970-01-01
155,1970-01-01
156,1970-01-01
156,1971-01-01
156,1972-01-01
157,1970-01-01
157,1971-01-01
158,1970-01-01
158,1971-01-01
158,1972-01-01
158,1973-01-01
158,1974-01-01
159,1970-01-01
160,1970-01-01
160,1971-01-01
160,1973-01-01
160,1983-01-01
161,1970-01-01
162,1970-01-01
162,1971-01-01
162,1972-01-01
162,1974-01-01
163,1970-01-01
163,1971-01-01
163,1972-01-01
163,1973-01-01
163,1974-01-01
163,1975-01-01
164,1970-01-01
164,1971-01-01
164,1972-01-01
165,1970-01-01
165,1972-01-01
165,1973-01-01
165,1974-01-01
165,1975-01-01
165,1977-01-01
165,1978-01-01
165,1979-01-01
165,1980-01-01
165,1981-01-01
165,1982-01-01
165,1983-01-01
166,1970-01-01
166,1971-01-01
166,1972-01-01
166,1973-01-01
166,1976-01-01
166,1977-01-01
166,1979-01-01
166,1980-01-01
166,1981-01-01
166,1982-01-01
166,1983-01-01
167,1970-01-01
167,1980-01-01
168,1970-01-01
168,1971-01-01
168,1972-01-01
168,1974-01-01
168,1975-01-01
168,1976-01-01
168,1977-01-01
169,1970-01-01
169,1971-01-01
169,1972-01-01
169,1973-01-01
169,1974-01-01
169,1975-01-01
169,1976-01-01
169,1979-01-01
169,1981-01-01
169,1983-01-01
170,1970-01-01
171,1970-01-01
171,1971-01-01
171,1972-01-01
171,1973-01-01
171,1974-01-01
171,1975-01-01
171,1976-01-01
171,1977-01-01
171,1978-01-01
171,1980-01-01
171,1981-01-01
171,1982-01-01
172,1970-01-01
172,1971-01-01
172,1972-01-01
172,1973-01-01
173,1970-01-01
173,1971-01-01
173,1972-01-01
173,1973-01-01
173,1974-01-01
173,1975-01-01
173,1976-01-01
173,1977-01-01
173,1980-01-01
173,1981-01-01
173,1982-01-01
173,1983-01-01
174,1970-01-01
174,1971-01-01
174,1973-01-01
174,1974-01-01
174,1975-01-01
174,1976-01-01
174,1977-01-01
174,1978-01-01
174,1979-01-01
174,1980-01-01
174,1982-01-01
174,1983-01-01
175,1970-01-01
176,1970-01-01
176,1971-01-01
176,1972-01-01
176,1975-01-01
176,1976-01-01
176,1978-01-01
176,1979-01-01
176,1980-01-01
176,1982-01-01
176,1983-01-01
177,1970-01-01
177,1971-01-01
177,1972-01-01
177,1973-01-01
177,1974-01-01
177,1977-01-01
177,1978-01-01
177,1979-01-01
178,1970-01-01
178,1971-01-01
178,1972-01-01
178,1973-01-01
178,1974-01-01
178,1975-01-01
178,1976-01-01
178,1977-01-01
178,1978-01-01
178,1979-01-01
179,1970-01-01
180,1970-01-01
180,1972-01-01
180,1973-01-01
181,1970-01-01
182,1970-01-01
182,1971-01-01
182,1972-01-01
182,1973-01-01
182,1974-01-01
182,1975-01-01
182,1976-01-01
182,1977-01-01
182,1978-01-01
182,1979-01-01
182,1980-01-01
182,1981-01-01
182,1982-01-01
182,1983-01-01
183,1970-01-01
183,1973-01-01
183,1974-01-01
183,1976-01-01
184,1970-01-01
184,1971-01-01
184,1974-01-01
184,1975-01-01
184,1977-01-01
184,1978-01-01
184,1979-01-01
184,1980-01-01
184,1981-01-01
185,1970-01-01
185,1972-01-01
185,1973-01-01
185,1974-01-01
185,1976-01-01
185,1978-01-01
185,1979-01-01
185,1981-01-01
185,1982-01-01
186,1970-01-01
186,1971-01-01
186,1973-01-01
186,1975-01-01
187,1970-01-01
187,1971-01-01
187,1974-01-01
187,1975-01-01
187,1976-01-01
188,1970-01-01
188,1971-01-01
188,1972-01-01
188,1973-01-01
188,1974-01-01
188,1975-01-01
188,1976-01-01
188,1977-01-01
188,1979-01-01
188,1982-01-01
189,1970-01-01
189,1971-01-01
190,1970-01-01
190,1971-01-01
190,1972-01-01
190,1973-01-01
190,1974-01-01
190,1975-01-01
190,1976-01-01
191,1970-01-01
191,1977-01-01
192,1970-01-01
193,1970-01-01
193,1971-01-01
193,1972-01-01
193,1973-01-01
193,1975-01-01
193,1976-01-01
194,1970-01-01
194,1971-01-01
194,1972-01-01
194,1973-01-01
195,1970-01-01
195,1971-01-01
195,1972-01-01
195,1973-01-01
195,1976-01-01
196,1970-01-01
196,1972-01-01
197,1970-01-01
197,1973-01-01
198,1970-01-01
198,1971-01-01
198,1973-01-01
198,1974-01-01
198,1975-01-01
198,1978-01-01
198,1981-01-01
198,1982-01-01
198,1983-01-01
199,1970-01-01
199,1974-01-01
199,1978-01-01
199,1979-01-01
199,1981-01-01
200,1970-01-01
200,1972-01-01
200,1973-01-01
200,1976-01-01
200,1977-01-01
200,1980-01-01
201,1970-01-01
202,1970-01-01
203,1970-01-01
203,1971-01-01
203,1973-01-01
203,1975-01-01
203,1976-01-01
204,1970-01-01
204,1973-01-01
205,1970-01-01
206,1970-01-01
207,1970-01-01
207,1971-01-01
207,1972-01-01
207,1973-01-01
207,1974-01-01
207,1975-01-01
207,1976-01-01
207,1977-01-01
207,1978-01-01
207,1979-01-01
207,1980-01-01
207,1981-01-01
207,1982-01-01
207,1983-01-01
208,1970-01-01
208,1971-01-01
209,1970-01-01
209,1971-01-01
209,1972-01-01
209,1973-01-01
209,1974-01-01
209,1975-01-01
209,1977-01-01
209,1978-01-01
209,1979-01-01
209,1980-01-01
209,1981-01-01
209,1982-01-01
209,1983-01-01
210,1970-01-01
211,1970-01-01
212,1970-01-01
212,1971-01-01
212,1972-01-01
212,1973-01-01
212,1975-01-01
212,1976-01-01
213,1970-01-01
213,1979-01-01
214,1970-01-01
215,1970-01-01
215,1971-01-01
216,1970-01-01
216,1973-01-01
216,1974-01-01
216,1975-01-01
216,1976-01-01
216,1977-01-01
216,1979-01-01
216,1980-01-01
217,1970-01-01
218,1970-01-01
218,1972-01-01
218,1973-01-01
218,1974-01-01
218,1975-01-01
218,1976-01-01
218,1978-01-01
218,1979-01-01
218,1980-01-01
218,1981-01-01
218,1982-01-01
219,1970-01-01
219,1971-01-01
219,1972-01-01
220,1970-01-01
220,1971-01-01
220,1972-01-01
221,1970-01-01
221,1971-01-01
221,1972-01-01
221,1973-01-01
221,1976-01-01
221,1977-01-01
221,1978-01-01
221,1979-01-01
221,1980-01-01
221,1981-01-01
221,1982-01-01
221,1983-01-01
222,1970-01-01
223,1970-01-01
223,1971-01-01
223,1976-01-01
224,1970-01-01
224,1971-01-01
224,1972-01-01
224,1973-01-01
224,1974-01-01
224,1975-01-01
224,1976-01-01
224,1978-01-01
224,1979-01-01
224,1981-01-01
224,1982-01-01
225,1970-01-01
225,1971-01-01
225,1972-01-01
225,1975-01-01
225,1976-01-01
225,1977-01-01
225,1978-01-01
225,1980-01-01
225,1981-01-01
225,1982-01-01
226,1970-01-01
227,1970-01-01
228,1970-01-01
229,1970-01-01
229,1971-01-01
229,1972-01-01
229,1973-01-01
230,1970-01-01
230,1973-01-01
231,1970-01-01
231,1971-01-01
231,1972-01-01
231,1973-01-01
231,1974-01-01
232,1970-01-01
233,1970-01-01
233,1971-01-01
233,1975-01-01
233,1979-01-01
234,1970-01-01
235,1970-01-01
236,1970-01-01
237,1970-01-01
237,1971-01-01
238,1970-01-01
238,1971-01-01
238,1972-01-01
238,1973-01-01
238,1974-01-01
239,1970-01-01
240,1970-01-01
241,1970-01-01
241,1971-01-01
241,1972-01-01
241,1975-01-01
241,1976-01-01
241,1977-01-01
241,1978-01-01
241,1980-01-01
241,1981-01-01
241,1982-01-01
241,1983-01-01
242,1970-01-01
242,1971-01-01
242,1973-01-01
242,1974-01-01
242,1975-01-01
242,1976-01-01
242,1977-01-01
242,1978-01-01
242,1980-01-01
242,1981-01-01
242,1982-01-01
242,1983-01-01
243,1970-01-01
243,1973-01-01
243,1976-01-01
244,1970-01-01
244,1971-01-01
244,1972-01-01
244,1973-01-01
244,1974-01-01
244,1977-01-01
244,1979-01-01
244,1980-01-01
244,1982-01-01
244,1983-01-01
245,1970-01-01
245,1976-01-01
245,1980-01-01
246,1970-01-01
246,1971-01-01
247,1970-01-01
248,1970-01-01
248,1971-01-01
248,1972-01-01
248,1973-01-01
248,1974-01-01
248,1976-01-01
249,1970-01-01
249,1972-01-01
250,1970-01-01
251,1970-01-01
252,1970-01-01
253,1970-01-01
254,1970-01-01
255,1970-01-01
255,1974-01-01
256,1970-01-01
256,1972-01-01
256,1973-01-01
256,1975-01-01
257,1970-01-01
257,1971-01-01
257,1972-01-01
257,1973-01-01
258,1970-01-01
258,1973-01-01
258,1974-01-01
258,1975-01-01
258,1976-01-01
258,1977-01-01
258,1978-01-01
258,1979-01-01
258,1980-01-01
258,1982-01-01
259,1970-01-01
260,1970-01-01
260,1973-01-01
260,1975-01-01
260,1976-01-01
260,1978-01-01
260,1979-01-01
261,1970-01-01
262,1970-01-01
263,1970-01-01
263,1972-01-01
263,1974-01-01
263,1977-01-01
263,1978-01-01
263,1979-01-01
263,1980-01-01
264,1970-01-01
265,1970-01-01
265,1971-01-01
266,1970-01-01
267,1970-01-01
268,1970-01-01
268,1971-01-01
269,1970-01-01
269,1971-01-01
270,1970-01-01
270,1971-01-01
270,1972-01-01
271,1970-01-01
271,1972-01-01
271,1975-01-01
271,1976-01-01
271,1977-01-01
271,1978-01-01
271,1980-01-01
271,1981-01-01
271,1982-01-01
271,1983-01-01
272,1970-01-01
272,1971-01-01
272,1972-01-01
272,1973-01-01
272,1974-01-01
272,1975-01-01
272,1976-01-01
272,1977-01-01
272,1978-01-01
272,1979-01-01
272,1980-01-01
272,1981-01-01
272,1982-01-01
272,1983-01-01
273,1970-01-01
274,1970-01-01
274,1972-01-01
275,1970-01-01
275,1971-01-01
275,1972-01-01
275,1973-01-01
275,1974-01-01
275,1975-01-01
275,1977-01-01
275,1978-01-01
275,1979-01-01
275,1981-01-01
275,1982-01-01
276,1970-01-01
277,1970-01-01
278,1970-01-01
278,1971-01-01
278,1972-01-01
279,1970-01-01
280,1970-01-01
280,1971-01-01
280,1972-01-01
281,1970-01-01
281,1972-01-01
282,1970-01-01
283,1970-01-01
284,1970-01-01
284,1971-01-01
284,1972-01-01
284,1973-01-01
284,1974-01-01
284,1975-01-01
284,1976-01-01
284,1977-01-01
284,1978-01-01
284,1979-01-01
284,1982-01-01
285,1970-01-01
285,1973-01-01
285,1978-01-01
285,1981-01-01
285,1983-01-01
286,1970-01-01
287,1970-01-01
287,1971-01-01
287,1972-01-01
287,1973-01-01
287,1974-01-01
287,1975-01-01
287,1976-01-01
288,1970-01-01
289,1970-01-01
289,1973-01-01
289,1975-01-01
289,1976-01-01
289,1978-01-01
289,1980-01-01
289,1981-01-01
289,1982-01-01
289,1983-01-01
290,1970-01-01
290,1971-01-01
290,1972-01-01
290,1973-01-01
290,1974-01-01
290,1976-01-01
290,1977-01-01
290,1979-01-01
290,1980-01-01
290,1982-01-01
290,1983-01-01
291,1970-01-01
291,1971-01-01
291,1972-01-01
291,1973-01-01
291,1974-01-01
291,1975-01-01
291,1976-01-01
291,1977-01-01
291,1978-01-01
291,1979-01-01
291,1980-01-01
291,1983-01-01
292,1970-01-01
292,1971-01-01
292,1972-01-01
292,1973-01-01
292,1976-01-01
292,1977-01-01
292,1978-01-01
293,1970-01-01
293,1971-01-01
293,1972-01-01
293,1973-01-01
293,1974-01-01
293,1975-01-01
294,1970-01-01
294,1971-01-01
294,1972-01-01
295,1970-01-01
295,1971-01-01
295,1972-01-01
296,1970-01-01
296,1971-01-01
296,1972-01-01
296,1973-01-01
296,1974-01-01
296,1975-01-01
296,1976-01-01
296,1977-01-01
296,1978-01-01
296,1979-01-01
296,1980-01-01
296,1981-01-01
296,1982-01-01
296,1983-01-01
297,1970-01-01
297,1971-01-01
297,1972-01-01
297,1973-01-01
297,1982-01-01
297,1983-01-01
298,1970-01-01
298,1971-01-01
298,1972-01-01
299,1970-01-01
300,1970-01-01
300,1972-01-01
300,1973-01-01
300,1974-01-01
300,1975-01-01
300,1976-01-01
300,1977-01-01
300,1978-01-01
300,1980-01-01
300,1981-01-01
300,1982-01-01
301,1970-01-01
301,1971-01-01
301,1972-01-01
302,1970-01-01
303,1970-01-01
304,1970-01-01
304,1971-01-01
304,1972-01-01
304,1973-01-01
304,1974-01-01
304,1975-01-01
304,1976-01-01
304,1977-01-01
304,1978-01-01
304,1979-01-01
304,1980-01-01
304,1981-01-01
304,1982-01-01
304,1983-01-01
305,1970-01-01
305,1971-01-01
305,1972-01-01
305,1973-01-01
305,1974-01-01
305,1976-01-01
305,1977-01-01
306,1970-01-01
307,1970-01-01
307,1972-01-01
307,1973-01-01
307,1977-01-01
307,1978-01-01
307,1981-01-01
307,1982-01-01
307,1983-01-01
308,1970-01-01
308,1971-01-01
308,1973-01-01
308,1974-01-01
308,1975-01-01
308,1977-01-01
308,1979-01-01
309,1970-01-01
309,1973-01-01
309,1974-01-01
309,1977-01-01
309,1982-01-01
310,1970-01-01
311,1970-01-01
311,1971-01-01
312,1970-01-01
313,1970-01-01
